id_paquete,peso_kg,distancia_km,tipo_servicio,es_fragil,costo_envio
PKG-0114,17.54,127.1,Estandar,Si,58.24
PKG-0115,1.4,55.9,Mismo_Dia,Si,53.0
PKG-0116,26.23,50.0,Express,No,69.25
PKG-0117,27.46,459.8,Estandar,No,86.97
PKG-0118,19.7,133.2,Estandar,No,49.16
PKG-0119,19.85,739.4,Estandar,No,103.97
PKG-0120,21.27,784.1,Estandar,No,111.05
PKG-0121,14.28,29.5,Estandar,No,30.83
PKG-0122,21.05,,Express,No,98.47
PKG-0123,11.41,76.1,Express,Si,59.9
PKG-0124,14.97,506.2,Estandar,Si,83.06
PKG-0125,19.74,401.9,Express,No,81.14
PKG-0126,2.51,799.1,Express,Si,91.74
PKG-0127,16.27,564.8,Estandar,Si,87.43
PKG-0128,22.15,610.4,Mismo_Dia,No,121.9
PKG-0129,13.09,615.6,Estandar,No,76.05
PKG-0130,19.7,64.2,Estandar,No,48.19
PKG-0131,17.5,89.7,Mismo_Dia,Si,80.38
PKG-0132,8.41,,Express,No,54.72
PKG-0133,26.78,249.9,Estandar,No,77.67
PKG-0134,5.3,214.9,Mismo_Dia,No,63.72
PKG-0135,11.81,705.1,Estandar,No,80.85
PKG-0136,1.67,681.1,Express,No,78.78
PKG-0137,14.22,590.7,Express,No,87.7
PKG-0138,19.17,746.0,Express,Si,124.97
PKG-0139,25.58,674.5,Mismo_Dia,No,135.16
PKG-0140,17.93,660.0,Estandar,No,87.7
PKG-0141,,464.9,Estandar,No,55.56
PKG-0142,10.15,453.1,Mismo_Dia,No,94.05
PKG-0143,3.11,396.8,Express,No,56.54
PKG-0144,19.34,206.1,Express,No,71.12
PKG-0145,17.47,733.5,Estandar,No,98.53
PKG-0146,20.98,531.2,Express,No,99.68
PKG-0147,20.67,131.6,Mismo_Dia,No,82.43
PKG-0148,20.86,19.4,Mismo_Dia,No,78.22
PKG-0149,26.61,267.1,Estandar,No,71.75
PKG-0150,26.7,163.0,Estandar,No,72.84
PKG-0151,2.72,417.4,Express,Si,63.53
PKG-0152,21.94,763.4,Estandar,No,104.35
PKG-0153,28.12,,Express,No,116.52
PKG-0154,22.16,99.6,Mismo_Dia,No,81.11
PKG-0155,2.26,531.2,Express,No,65.49
PKG-0156,2.41,474.4,Estandar,No,45.68
PKG-0157,9.63,437.4,Express,No,68.0
PKG-0158,1.44,429.0,Estandar,No,48.17
PKG-0159,29.56,339.7,Express,Si,112.67
PKG-0160,9.96,69.0,Estandar,No,31.07
PKG-0161,19.15,703.6,Express,No,115.04
PKG-0162,3.09,746.3,Mismo_Dia,No,106.96
PKG-0163,22.08,737.7,Express,No,115.84
PKG-0164,10.59,383.9,Estandar,No,48.05
PKG-0165,24.43,571.4,Express,Si,128.01
PKG-0166,8.32,416.5,Express,No,65.41
PKG-0167,2.32,751.0,Express,No,87.08
PKG-0168,5.28,315.2,Estandar,Si,52.06
PKG-0169,1.9,563.1,Estandar,Si,62.42
PKG-0170,10.13,447.5,Estandar,Si,64.39
PKG-0171,28.82,604.3,Express,No,116.43
PKG-0172,20.21,738.9,Estandar,Si,114.08
PKG-0173,19.95,20.1,Express,No,54.68
PKG-0174,5.64,507.3,Express,No,71.36
PKG-0175,0.56,338.9,Estandar,Si,43.64
PKG-0176,6.96,488.1,Mismo_Dia,No,81.41
PKG-0177,6.29,518.4,Express,No,71.37
PKG-0178,25.11,49.9,Estandar,No,55.83
PKG-0179,28.32,457.9,Express,Si,122.64
PKG-0180,24.58,299.8,Express,No,88.01
PKG-0181,26.41,417.4,Estandar,Si,94.72
PKG-0182,21.96,196.3,Estandar,No,56.81
PKG-0183,4.68,324.9,Estandar,No,45.58
PKG-0184,3.86,465.6,Estandar,No,44.56
PKG-0185,,621.3,Express,Si,130.85
PKG-0186,3.15,282.7,Estandar,Si,45.07
PKG-0187,29.42,145.2,Mismo_Dia,No,99.94
PKG-0188,24.59,407.1,Estandar,Si,88.44
PKG-0189,9.94,589.7,Estandar,No,68.12
PKG-0190,7.95,784.6,Estandar,No,78.23
PKG-0191,,668.5,Estandar,No,79.1
PKG-0192,7.85,433.4,Estandar,No,52.77
PKG-0193,29.36,356.9,Express,No,97.89
PKG-0194,2.22,756.8,Express,No,81.79
PKG-0195,10.22,441.1,Estandar,No,60.19
PKG-0196,2.71,341.7,Estandar,No,42.26
PKG-0197,5.85,464.2,Express,No,55.58
PKG-0198,8.4,740.4,Express,No,92.32
PKG-0199,3.12,704.6,Estandar,No,57.47
PKG-0200,15.68,778.3,Estandar,No,100.76
PKG-0201,9.54,329.8,Estandar,Si,54.96
PKG-0202,28.83,657.1,Express,Si,136.69
PKG-0203,8.81,26.6,Estandar,No,29.43
PKG-0204,17.98,383.5,Estandar,Si,86.2
PKG-0205,13.54,651.7,Estandar,No,82.78
PKG-0206,29.63,,Estandar,No,81.5
PKG-0207,25.54,80.5,Estandar,Si,66.69
PKG-0208,16.52,660.4,Estandar,No,89.22
PKG-0209,2.55,400.3,Estandar,Si,53.88
PKG-0210,13.87,731.9,Estandar,No,87.28
PKG-0211,14.77,622.1,Estandar,No,79.72
PKG-0212,12.76,431.6,Estandar,Si,67.57
PKG-0213,7.95,716.8,Estandar,Si,90.94
PKG-0214,24.15,649.7,Estandar,No,106.03
PKG-0215,11.72,353.0,Express,No,66.39
PKG-0216,3.51,14.9,Express,No,18.18
PKG-0217,28.59,247.5,Mismo_Dia,Si,128.95
PKG-0218,13.33,165.0,Estandar,No,38.45
PKG-0219,,695.4,Estandar,No,106.13
PKG-0220,4.53,,Estandar,No,61.47
PKG-0221,22.83,655.6,Estandar,No,101.8
PKG-0222,18.13,109.4,Express,No,62.85
PKG-0223,1.66,372.7,Express,Si,60.82
PKG-0224,22.88,218.8,Express,No,76.11
PKG-0225,1.24,688.6,Express,No,80.32
PKG-0226,18.65,237.0,Estandar,No,52.97
PKG-0227,2.61,780.5,Estandar,Si,87.92
PKG-0228,21.44,223.2,Estandar,Si,66.0
PKG-0229,4.82,172.8,Mismo_Dia,No,58.47
PKG-0230,21.8,74.9,Express,No,63.9
PKG-0231,2.0,686.9,Estandar,No,59.37
PKG-0232,2.86,700.9,Estandar,No,68.57
PKG-0233,,395.0,Estandar,Si,60.24
PKG-0234,26.63,261.1,Express,No,88.85
PKG-0235,23.95,228.0,Express,Si,88.43
PKG-0236,15.57,42.4,Estandar,No,34.44
PKG-0237,27.81,574.7,Express,No,110.51
PKG-0238,11.96,254.3,Estandar,No,47.23
PKG-0239,,187.4,Estandar,No,50.86
PKG-0240,29.59,460.4,Estandar,Si,109.08
PKG-0241,12.95,323.1,Express,No,66.68
PKG-0242,9.75,346.2,Mismo_Dia,No,77.22
PKG-0243,9.45,292.2,Mismo_Dia,No,78.71
PKG-0244,17.56,,Estandar,No,40.05
PKG-0245,16.17,349.4,Express,No,76.79
PKG-0246,1.61,737.8,Express,No,70.4
PKG-0247,24.19,206.6,Express,No,75.2
PKG-0248,6.53,297.2,Express,No,51.39
PKG-0249,9.25,217.1,Estandar,No,41.16
PKG-0250,2.42,105.9,Estandar,No,19.41
PKG-0251,15.57,515.2,Estandar,No,72.85
PKG-0252,18.74,378.7,Estandar,No,68.86
PKG-0253,23.98,228.9,Mismo_Dia,Si,113.26
PKG-0254,7.88,477.3,Estandar,Si,75.13
PKG-0255,16.97,52.4,Estandar,No,43.06
PKG-0256,26.63,439.2,Estandar,No,86.87
PKG-0257,25.91,82.4,Estandar,No,56.38
PKG-0258,,270.2,Estandar,No,61.05
PKG-0259,17.77,136.3,Estandar,Si,58.24
PKG-0260,23.11,157.3,Express,No,69.2
PKG-0261,6.85,60.2,Estandar,Si,36.01
PKG-0262,26.56,277.1,Estandar,No,69.33
PKG-0263,9.2,194.0,Estandar,No,33.1
PKG-0264,5.07,383.0,Express,No,58.19
PKG-0265,10.28,403.0,Express,No,67.25
PKG-0266,11.84,650.8,Express,Si,104.77
PKG-0267,9.84,220.4,Estandar,No,40.0
PKG-0268,6.35,234.2,Estandar,No,34.44
PKG-0269,16.26,200.2,Mismo_Dia,No,83.48
PKG-0270,13.18,766.2,Mismo_Dia,Si,137.17
PKG-0271,9.12,,Estandar,Si,43.95
PKG-0272,10.91,405.5,Express,No,69.7
PKG-0273,27.48,92.7,Mismo_Dia,No,87.37
PKG-0274,,175.1,Estandar,Si,45.85
PKG-0275,22.95,83.7,Express,No,71.02
PKG-0276,24.12,515.7,Express,No,105.54
PKG-0277,5.75,647.0,Estandar,Si,77.65
PKG-0278,16.86,171.0,Estandar,No,45.42
PKG-0279,,487.9,Estandar,No,66.95
PKG-0280,6.51,412.0,Estandar,No,49.23
PKG-0281,7.46,226.5,Express,No,47.91
PKG-0282,0.66,231.0,Estandar,Si,37.48
PKG-0283,24.98,481.0,Mismo_Dia,No,124.33
PKG-0284,26.53,539.5,Estandar,Si,112.65
PKG-0285,25.3,104.4,Express,No,70.57
PKG-0286,7.77,677.1,Estandar,No,73.85
PKG-0287,19.12,,Mismo_Dia,No,119.28
PKG-0288,9.32,739.2,Express,No,93.18
PKG-0289,0.59,708.9,Express,Si,88.37
PKG-0290,,586.3,Express,No,111.27
PKG-0291,7.02,162.9,Mismo_Dia,No,66.12
PKG-0292,14.7,185.2,Express,No,57.98
PKG-0293,6.22,787.2,Estandar,No,74.14
PKG-0294,24.91,239.6,Express,No,72.8
PKG-0295,,596.7,Express,No,95.88
PKG-0296,20.88,112.8,Estandar,No,45.96
PKG-0297,19.09,493.8,Express,No,90.28
PKG-0298,19.8,381.2,Mismo_Dia,No,106.73
PKG-0299,17.32,448.1,Express,No,89.82
PKG-0300,25.31,539.5,Express,Si,116.25
PKG-0301,20.06,195.8,Express,No,66.44
PKG-0302,5.06,798.8,Express,No,97.06
PKG-0303,9.75,481.4,Mismo_Dia,No,86.26
PKG-0304,18.29,758.0,Mismo_Dia,No,127.92
PKG-0305,4.85,12.4,Estandar,Si,30.5
PKG-0306,2.65,770.4,Estandar,No,71.71
PKG-0307,1.78,787.7,Estandar,No,73.71
PKG-0308,16.35,511.8,Estandar,No,76.08
PKG-0309,12.78,597.7,Express,No,85.84
PKG-0310,26.33,777.0,Express,Si,135.83
PKG-0311,10.99,98.3,Estandar,No,33.55
PKG-0312,4.74,445.8,Estandar,No,47.18
PKG-0313,12.38,20.3,Express,Si,53.08
PKG-0314,17.54,412.8,Mismo_Dia,Si,112.32
PKG-0315,17.68,746.5,Express,No,109.99
PKG-0316,7.18,571.9,Estandar,No,54.99
PKG-0317,15.95,755.5,Estandar,No,96.82
PKG-0318,9.94,776.2,Mismo_Dia,Si,130.53
PKG-0319,21.35,550.4,Express,Si,112.56
PKG-0320,27.93,436.2,Estandar,No,93.06
PKG-0321,10.42,364.1,Express,Si,79.49
PKG-0322,5.06,412.3,Express,No,58.89
PKG-0323,19.08,343.0,Estandar,No,64.05
PKG-0324,1.24,20.7,Estandar,Si,27.11
PKG-0325,7.29,661.9,Estandar,No,72.5
PKG-0326,,53.7,Estandar,Si,46.43
PKG-0327,22.86,345.7,Mismo_Dia,Si,114.1
PKG-0328,14.27,351.2,Estandar,No,63.45
PKG-0329,16.32,347.1,Estandar,No,59.42
PKG-0330,23.27,263.8,Express,No,77.75
PKG-0331,7.49,317.0,Express,Si,67.53
PKG-0332,28.64,,Estandar,Si,71.3
PKG-0333,19.11,611.7,Estandar,No,91.13
PKG-0334,23.86,184.2,Estandar,No,62.13
PKG-0335,14.31,246.4,Estandar,No,51.58
PKG-0336,6.21,698.6,Estandar,Si,78.64
PKG-0337,29.53,349.0,Mismo_Dia,Si,132.27
PKG-0338,2.17,59.7,Estandar,No,15.97
PKG-0339,12.23,545.9,Estandar,No,67.03
PKG-0340,4.99,281.5,Estandar,No,40.68
PKG-0341,,499.1,Mismo_Dia,No,85.35
PKG-0342,19.09,286.2,Estandar,No,61.85
PKG-0343,,483.4,Estandar,No,55.79
PKG-0344,8.61,661.4,Express,Si,98.48
PKG-0345,14.14,794.0,Estandar,Si,110.27
PKG-0346,12.04,256.5,Mismo_Dia,No,76.45
PKG-0347,14.32,135.1,Estandar,No,38.05
PKG-0348,8.02,607.0,Express,No,79.27
PKG-0349,10.98,74.2,Mismo_Dia,No,56.92
PKG-0350,17.0,389.6,Estandar,No,67.13
PKG-0351,23.65,655.0,Express,Si,125.58
PKG-0352,23.63,165.9,Express,Si,83.82
PKG-0353,3.77,121.0,Estandar,No,25.83
PKG-0354,13.22,744.6,Estandar,No,91.89
PKG-0355,,,Estandar,No,33.81
PKG-0356,8.11,545.4,Mismo_Dia,No,93.55
PKG-0357,18.66,221.4,Mismo_Dia,Si,96.91
PKG-0358,20.66,386.9,Estandar,No,73.9
PKG-0359,,473.5,Estandar,No,54.92
PKG-0360,3.17,392.2,Estandar,No,35.5
PKG-0361,11.24,77.8,Express,No,42.16
PKG-0362,18.22,509.8,Estandar,No,77.86
PKG-0363,1.73,755.6,Mismo_Dia,No,97.66
PKG-0364,28.82,672.9,Mismo_Dia,No,142.03
PKG-0365,28.19,397.9,Estandar,No,87.33
PKG-0366,13.23,396.7,Estandar,Si,68.06
PKG-0367,13.55,431.7,Estandar,No,65.23
PKG-0368,13.42,509.2,Estandar,No,71.87
PKG-0369,11.43,521.0,Express,No,76.98
PKG-0370,0.66,277.1,Estandar,Si,38.6
PKG-0371,6.19,158.0,Express,No,41.98
PKG-0372,22.36,27.5,Estandar,No,46.02
PKG-0373,17.86,18.8,Mismo_Dia,No,73.66
PKG-0374,,565.5,Estandar,No,80.31
PKG-0375,22.88,214.3,Express,Si,88.55
PKG-0376,21.04,,Estandar,No,95.81
PKG-0377,23.12,242.0,Estandar,No,65.94
PKG-0378,19.92,748.1,Estandar,No,101.88
PKG-0379,23.55,458.1,Mismo_Dia,No,117.65
PKG-0380,10.56,52.9,Express,No,39.09
PKG-0381,5.46,243.5,Express,No,51.58
PKG-0382,16.09,233.1,Express,No,65.4
PKG-0383,8.76,294.5,Express,Si,67.66
PKG-0384,14.68,245.1,Estandar,No,46.52
PKG-0385,26.06,26.1,Mismo_Dia,No,87.37
PKG-0386,3.1,,Express,No,63.96
PKG-0387,5.32,338.4,Estandar,No,40.37
PKG-0388,29.95,162.6,Express,No,89.41
PKG-0389,15.68,614.9,Estandar,Si,89.66
PKG-0390,15.51,775.3,Estandar,No,94.92
PKG-0391,5.0,698.2,Estandar,No,76.13
PKG-0392,3.56,141.1,Estandar,No,23.86
PKG-0393,17.65,557.7,Estandar,No,84.73
PKG-0394,6.84,164.4,Estandar,Si,43.84
PKG-0395,4.57,457.6,Estandar,No,49.85
PKG-0396,2.39,355.3,Express,Si,64.21
PKG-0397,21.88,700.9,Express,Si,127.73
PKG-0398,26.58,716.5,Express,No,121.24
PKG-0399,29.41,712.8,Estandar,No,112.22
PKG-0400,5.19,800.0,Express,Si,104.81
PKG-0401,14.15,514.3,Express,No,91.3
PKG-0402,28.37,643.6,Estandar,Si,116.56
PKG-0403,,118.1,Estandar,No,42.06
PKG-0404,18.18,736.5,Estandar,No,101.19
PKG-0405,28.79,288.6,Express,No,85.05
PKG-0406,18.46,546.7,Express,No,91.62
PKG-0407,5.57,749.9,Express,No,93.25
PKG-0408,18.43,586.5,Mismo_Dia,No,113.0
PKG-0409,9.22,63.0,Estandar,No,29.0
PKG-0410,4.07,120.2,Estandar,No,20.39
PKG-0411,17.15,421.6,Estandar,No,72.63
PKG-0412,5.3,378.8,Estandar,Si,56.81
PKG-0413,4.5,547.1,Express,Si,84.9
PKG-0414,28.7,718.2,Estandar,No,111.74
PKG-0415,6.77,602.0,Estandar,No,65.72
PKG-0416,19.03,218.8,Mismo_Dia,Si,101.02
PKG-0417,7.43,679.9,Mismo_Dia,Si,113.26
PKG-0418,,284.4,Express,Si,64.76
PKG-0419,7.88,238.0,Express,No,56.57
PKG-0420,29.02,320.0,Estandar,Si,92.53
PKG-0421,1.25,458.5,Express,Si,68.93
PKG-0422,23.46,66.7,Express,No,65.57
PKG-0423,17.64,560.0,Mismo_Dia,No,111.28
PKG-0424,2.09,503.1,Estandar,No,48.93
PKG-0425,17.23,533.1,Mismo_Dia,No,102.91
PKG-0426,16.42,346.0,Express,No,74.42
PKG-0427,5.18,253.1,Express,No,48.51
PKG-0428,4.5,454.1,Mismo_Dia,No,76.57
PKG-0429,18.74,142.7,Express,No,66.3
PKG-0430,4.88,540.2,Estandar,No,55.2
PKG-0431,0.87,617.9,Express,Si,80.08
PKG-0432,2.63,726.5,Estandar,No,66.02
PKG-0433,19.96,137.2,Express,No,69.59
PKG-0434,24.33,525.2,Express,No,101.31
PKG-0435,26.58,92.8,Express,No,74.79
PKG-0436,6.71,172.8,Mismo_Dia,No,54.93
PKG-0437,3.0,667.2,Estandar,No,62.72
PKG-0438,21.91,278.3,Estandar,No,69.97
PKG-0439,13.55,471.5,Mismo_Dia,Si,107.68
PKG-0440,,464.1,Express,No,74.47
PKG-0441,26.38,389.3,Estandar,No,88.18
PKG-0442,16.57,397.3,Estandar,No,61.85
PKG-0443,17.58,609.9,Estandar,Si,95.91
PKG-0444,22.1,219.4,Estandar,No,62.79
PKG-0445,6.56,552.8,Express,Si,85.78
PKG-0446,18.39,94.9,Express,No,63.6
PKG-0447,2.45,572.1,Estandar,Si,67.07
PKG-0448,8.57,556.7,Mismo_Dia,No,92.23
PKG-0449,24.81,,Express,No,120.64
PKG-0450,19.78,686.6,Estandar,No,92.32
PKG-0451,8.18,32.0,Express,No,32.19
PKG-0452,7.11,210.2,Mismo_Dia,No,63.26
PKG-0453,16.93,188.7,Estandar,Si,61.18
PKG-0454,17.34,194.6,Mismo_Dia,No,82.54
PKG-0455,,551.5,Mismo_Dia,No,124.06
PKG-0456,27.48,494.6,Express,No,109.59
PKG-0457,7.32,579.7,Estandar,No,65.62
PKG-0458,,,Estandar,Si,109.23
PKG-0459,19.18,762.3,Mismo_Dia,No,123.63
PKG-0460,25.16,489.8,Estandar,No,85.75
PKG-0461,28.14,,Mismo_Dia,No,147.97
PKG-0462,14.81,187.1,Estandar,No,50.01
PKG-0463,18.58,719.1,Express,Si,122.4
PKG-0464,,235.7,Estandar,No,26.61
PKG-0465,18.49,679.4,Estandar,No,90.88
PKG-0466,,706.9,Estandar,Si,86.23
PKG-0467,27.6,305.8,Estandar,No,82.29
PKG-0468,24.25,313.7,Estandar,Si,92.23
PKG-0469,10.55,463.8,Express,No,76.08
PKG-0470,9.58,607.3,Express,No,84.66
PKG-0471,27.92,473.4,Express,No,101.96
PKG-0472,19.67,215.8,Express,No,72.7
PKG-0473,8.95,504.2,Express,No,71.11
PKG-0474,26.05,363.8,Express,Si,100.38
PKG-0475,14.77,134.6,Express,No,61.86
PKG-0476,27.65,89.6,Estandar,Si,74.2
PKG-0477,27.48,320.9,Express,No,94.24
PKG-0478,26.27,619.9,Mismo_Dia,No,134.3
PKG-0479,4.05,223.0,Estandar,No,20.42
PKG-0480,28.18,619.0,Estandar,Si,118.29
PKG-0481,27.96,84.2,Estandar,No,63.03
PKG-0482,24.29,162.0,Estandar,No,62.2
PKG-0483,12.28,,Express,No,70.37
PKG-0484,26.0,785.2,Estandar,No,112.0
PKG-0485,9.65,452.3,Express,No,72.62
PKG-0486,,378.2,Mismo_Dia,No,81.61
PKG-0487,5.6,489.0,Estandar,No,51.68
PKG-0488,13.4,156.6,Estandar,Si,56.76
PKG-0489,20.34,85.9,Express,No,60.4
PKG-0490,20.67,181.8,Estandar,No,53.19
PKG-0491,13.62,192.9,Estandar,No,42.0
PKG-0492,5.61,243.2,Estandar,No,38.69
PKG-0493,3.13,108.1,Estandar,Si,38.53
PKG-0494,8.14,207.0,Express,No,53.96
PKG-0495,8.26,669.2,Express,No,82.84
PKG-0496,26.46,47.6,Express,No,74.93
PKG-0497,25.74,683.9,Estandar,Si,120.9
PKG-0498,,43.8,Estandar,No,28.43
PKG-0499,9.33,673.9,Express,No,94.19
PKG-0500,27.38,580.4,Estandar,Si,111.97
PKG-0501,9.33,520.8,Express,No,75.29
PKG-0502,27.03,613.7,Express,No,115.31
PKG-0503,,419.3,Express,Si,62.81
PKG-0504,,333.2,Estandar,No,51.74
PKG-0505,27.4,716.7,Estandar,No,111.58
PKG-0506,14.4,178.6,Express,No,58.65
PKG-0507,20.04,783.4,Mismo_Dia,No,135.36
PKG-0508,19.01,290.9,Express,No,74.87
PKG-0509,15.38,689.3,Express,No,95.7
PKG-0510,19.78,244.9,Estandar,No,58.65
PKG-0511,19.18,479.4,Express,No,91.4
PKG-0512,19.57,412.4,Express,Si,100.77
PKG-0513,4.54,192.3,Express,No,40.37
PKG-0514,,316.5,Estandar,No,78.99
PKG-0515,8.5,128.9,Estandar,No,26.95
PKG-0516,14.4,,Estandar,Si,75.6
PKG-0517,18.1,223.2,Mismo_Dia,Si,102.0
PKG-0518,6.24,626.7,Express,No,85.46
PKG-0519,8.52,788.9,Estandar,No,83.39
PKG-0520,4.3,143.8,Estandar,Si,39.5
PKG-0521,25.71,147.9,Estandar,No,66.15
PKG-0522,8.12,314.1,Mismo_Dia,No,69.01
PKG-0523,0.85,497.2,Estandar,No,38.44
PKG-0524,24.75,724.4,Express,Si,135.06
PKG-0525,26.6,,Mismo_Dia,Si,154.17
PKG-0526,14.18,264.6,Estandar,Si,65.35
PKG-0527,3.18,644.6,Estandar,No,62.61
PKG-0528,6.1,787.7,Express,Si,109.68
PKG-0529,8.72,384.7,Express,No,65.82
PKG-0530,4.01,74.8,Estandar,No,19.62
PKG-0531,10.14,506.7,Estandar,No,62.79
PKG-0532,16.98,347.5,Mismo_Dia,No,91.93
PKG-0533,3.29,670.6,Estandar,No,62.75
PKG-0534,,528.8,Estandar,No,63.26
PKG-0535,21.11,788.5,Express,No,122.06
PKG-0536,23.87,513.9,Estandar,No,93.97
PKG-0537,8.06,232.9,Estandar,No,39.93
PKG-0538,22.73,78.9,Estandar,No,54.36
